LOAN_ID,DATE,CUSTOMER_AGE,TOTAL_PAID,TOTAL_DUE_TODAY,BALANCE,DAYS_PAST_DUE,CLOSING_BALANCE,ADVANCE,BALANCE_DUE_TO_DATE,ARREARS,BALANCE_DUE_STATUS,PAYMENT,EXPECTED_PAYMENT,FIRST_PAYMENT,FIRST_EXPECTED_PAYMENT,ACCOUNT_STATUS_L1,ACCOUNT_STATUS_L2,RETURN_DATE,SALE_DATE,CREDIT_CHECK_DONE,PAYMENT_AMOUNT,ADJUSTMENT_AMOUNT,PREPAYMENT_AMOUNT,DEPOSIT,WEEKLY_RATE,CREDIT_EXPIRY,NEXT_INVOICE_DATE,,DISCOUNT,OVERPAYMENT_AMOUNT,MAX_PAYMENT_DATE,INITIAL_PAY,TOTAL_PAID_WITH_ADJUSTMENTS_15D
recRwn5RBIyiGvDc4,12/30/2025,6,6999,6999,59670,0,59670,0,0,0,up to date,0,0,0,0,New Active,Active,,12/24/2025,Y LOAN,,,0,5829,1170,12/31/2025,12/31/2025,,0,0,12/24/2025,6999,6999
recbM12gaOc8iYM5W,12/30/2025,113,23489,22839,34000,0,34000,650,650,0,advance,0,0,0,0,Existing Active,Active,,9/8/2025,Y LOAN,,,0,6009,990,1/5/2026,1/5/2026,,0,0,12/25/2025,6999,23489
recyxOMXND6ycSUb0,12/30/2025,55,12439,13479,45760,0,45760,0,0,0,up to date,0,0,0,0,Existing Active,Active,,11/5/2025,Y LOAN,,,0,5159,1040,12/31/2025,12/31/2025,,0,0,12/24/2025,6199,13479
recHQewFBilINYo05,12/30/2025,116,27279,27279,41300,0,41300,0,0,0,up to date,0,0,0,0,Existing Active,Active,,9/5/2025,Y LOAN,,,0,7219,1180,1/2/2026,1/2/2026,,0,0,12/26/2025,8399,27279
rec0Ha9saktdVU5rd,12/30/2025,40,18049,18049,63020,0,63020,0,0,0,up to date,0,0,0,0,Existing Active,Active,,11/20/2025,Y LOAN,,,0,9829,1370,1/1/2026,1/1/2026,,0,0,12/24/2025,11199,18049
recjz5jj7L0YQPxSq,12/30/2025,277,17999,80399,81600,270,81600,0,-62400,62400,Arrears,0,0,0,0,First Month Default with inventory,Return,00:00.0,3/28/2025,Y LOAN,,,0,16399,1600,4/4/2025,1/2/2026,,0,0,3/28/2025,17999,17999
rec5W2dWQZaMzgqhd,12/30/2025,277,0,87599,109199,277,109199,0,-87599,87599,Arrears,0,0,0,0,First 2 days Return,Return,00:00.0,3/28/2025,Y LOAN,,,0,15599,1800,3/28/2025,1/2/2026,,0,0,,17399,0
recUrjcqZdOy2yHqB,12/30/2025,374,14849,69579,54730,332,54730,0,-54730,54730,Arrears,0,0,0,0,Cancelled Returned past 3 mths,Return,00:00.0,12/21/2024,Y LOAN,,,0,7699,1190,2/1/2025,1/3/2026,,0,0,1/25/2025,8889,14849
recmJzHTTaDii2NET,12/30/2025,298,66249,91599,33350,109,33350,0,-25350,25350,Arrears,0,0,0,0,Write Off,PAR 30,,3/7/2025,Y LOAN,,,0,16399,1600,9/12/2025,1/2/2026,,0,0,11/26/2025,24399,66249
rec1X9zvhnewDvoUG,12/30/2025,819,44419,44479,0,0,0,0,-60,60,Arrears,0,0,0,0,Paid Off Loan,Paid Off,,10/3/2023,Y LOAN,,,0,5999,740,9/24/2024,1/6/2026,,60,0,9/24/2024,6739,44419
reciMATipAR06KYwV,12/30/2025,6,9979,8899,54000,0,54000,1080,1080,0,advance,0,0,0,0,New Active,Active,,12/24/2025,Y LOAN,,,0,7819,1080,1/7/2026,12/31/2025,,0,0,12/26/2025,8899,9979
reczbnoz06M4nrQAo,12/30/2025,248,41099,40149,14250,0,14250,950,950,0,advance,0,0,0,0,Existing Active,Active,,4/26/2025,Y LOAN,,,0,5949,950,1/10/2026,1/3/2026,,0,0,12/12/2025,6899,41099
recUbKK44HgdSMbdQ,12/30/2025,145,18599,17799,19660,0,19660,800,800,0,advance,0,0,0,0,Existing Active,Active,,8/7/2025,Y LOAN,,,0,3939,660,1/8/2026,1/1/2026,,0,0,12/28/2025,4599,18599
reczhASiHGYiVDc6E,12/30/2025,164,25650,58049,53999,80,53999,0,-16199,16199,Arrears,0,0,0,0,Blocked 61-90,PAR 30,,7/19/2025,Y LOAN,,,0,25649,1350,10/11/2025,1/3/2026,,0,0,12/6/2025,26999,41850
